Year,Item.Group,Product.Classification,customer_category,Actual Margin
2020,Const Supplies CS/SD,CHEMIS,Good,25.06637168141593
2020,Const Supplies CS/SD,CHEOIL,Best,16.738230649339926
2020,Const Supplies CS/SD,CHEOIL,Better,25.61656996559553
2020,Const Supplies CS/SD,CHEOIL,Good,26.18483412322274
2020,Const Supplies CS/SD,CHEPAI,Best,16.725352112676045
2020,Const Supplies CS/SD,CHEPAI,Better,35.62945368171022
2020,Const Supplies CS/SD,CHEPAI,Good,30.675241157556265
2020,Const Supplies CS/SD,CHETEF,Best,26.39128352490421
2020,Const Supplies CS/SD,CHETEF,Better,22.296258329062024
2020,Const Supplies CS/SD,CHETEF,Good,19.754404698344906
2020,Const Supplies CS/SD,CMPRSL,Best,22.001968227189654
2020,Const Supplies CS/SD,CMPRSL,Better,18.99547379179442
2020,Const Supplies CS/SD,CUTARB,Best,24.779874213836475
2020,Const Supplies CS/SD,CUTARB,Better,25.69169960474308
2020,Const Supplies CS/SD,CUTARB,Good,25.024727992087037
2020,Const Supplies CS/SD,CUTBAN,Best,20.016393442622952
2020,Const Supplies CS/SD,CUTBAN,Better,19.00458248472505
2020,Const Supplies CS/SD,CUTBAN,Good,27.873394243148375
2020,Const Supplies CS/SD,CUTBIT,Best,24.42386121683311
2020,Const Supplies CS/SD,CUTBIT,Better,30.05181347150259
2020,Const Supplies CS/SD,CUTBIT,Good,27.965786537746375
2020,Const Supplies CS/SD,CUTBUR,Best,16.0057678442682
2020,Const Supplies CS/SD,CUTBUR,Better,30.008904719501334
2020,Const Supplies CS/SD,CUTBUR,Good,27.003098716246132
2020,Const Supplies CS/SD,CUTCHU,Best,15.047669715232766
2020,Const Supplies CS/SD,CUTCHU,Better,33.766018559434386
2020,Const Supplies CS/SD,CUTCHU,Good,25.5663430420712
2020,Const Supplies CS/SD,CUTCIR,Best,19.35483870967742
2020,Const Supplies CS/SD,CUTCIR,Better,29.94505494505495
2020,Const Supplies CS/SD,CUTCIR,Good,28.222996515679444
2020,Const Supplies CS/SD,CUTCUT,Best,24.24359221429947
2020,Const Supplies CS/SD,CUTCUT,Better,30.0253164556962
