Year,Item.Group,Product.Classification,customer_category,Actual Margin
2020,Const Supplies CS/SD,CHEMIS,Good,24.45868063742873
2020,Const Supplies CS/SD,CHEOIL,Best,19.37959006062791
2020,Const Supplies CS/SD,CHEOIL,Better,24.679420815341327
2020,Const Supplies CS/SD,CHEOIL,Good,25.00386044819849
2020,Const Supplies CS/SD,CHEPAI,Best,30.916602386717727
2020,Const Supplies CS/SD,CHEPAI,Better,34.10994077908406
2020,Const Supplies CS/SD,CHEPAI,Good,31.85473573310142
2020,Const Supplies CS/SD,CHETEF,Best,25.666077217801355
2020,Const Supplies CS/SD,CHETEF,Better,22.616356157261986
2020,Const Supplies CS/SD,CHETEF,Good,20.143250724757845
2020,Const Supplies CS/SD,CMPRSL,Best,19.251205964052925
2020,Const Supplies CS/SD,CMPRSL,Better,18.99547379179442
2020,Const Supplies CS/SD,CUTARB,Best,21.07036625705436
2020,Const Supplies CS/SD,CUTARB,Better,26.70982601845427
2020,Const Supplies CS/SD,CUTARB,Good,26.326098698587927
2020,Const Supplies CS/SD,CUTBAN,Best,19.196230881795817
2020,Const Supplies CS/SD,CUTBAN,Better,29.274698766062688
2020,Const Supplies CS/SD,CUTBAN,Good,26.60088398096186
2020,Const Supplies CS/SD,CUTBIT,Best,24.88745176923089
2020,Const Supplies CS/SD,CUTBIT,Better,29.599923136774766
2020,Const Supplies CS/SD,CUTBIT,Good,27.277460213146014
2020,Const Supplies CS/SD,CUTBUR,Best,19.61622899475669
2020,Const Supplies CS/SD,CUTBUR,Better,32.01445271713583
2020,Const Supplies CS/SD,CUTBUR,Good,26.259470474552742
2020,Const Supplies CS/SD,CUTCHU,Best,15.047669715232766
2020,Const Supplies CS/SD,CUTCHU,Better,36.68221577193043
2020,Const Supplies CS/SD,CUTCHU,Good,24.941027315487705
2020,Const Supplies CS/SD,CUTCIR,Best,23.02139187699263
2020,Const Supplies CS/SD,CUTCIR,Better,27.83207196429005
2020,Const Supplies CS/SD,CUTCIR,Good,31.198320773401367
2020,Const Supplies CS/SD,CUTCUT,Best,23.463451158177918
2020,Const Supplies CS/SD,CUTCUT,Better,29.251757279215045
2020,Const Supplies CS/SD,CUTCUT,Good,30.514930365912857
2020,Const Supplies CS/SD,CUTDIE,Best,11.003153562304327
2020,Const Supplies CS/SD,CUTDIE,Better,24.43930467739794
2020,Const Supplies CS/SD,CUTDIE,Good,24.06500603698649
2020,Const Supplies CS/SD,CUTEND,Best,34.381428030212454
2020,Const Supplies CS/SD,CUTEND,Better,21.703182982632253
2020,Const Supplies CS/SD,CUTEND,Good,35.762247175606745
2020,Const Supplies CS/SD,CUTFIL,Best,26.360010317612954
2020,Const Supplies CS/SD,CUTFIL,Better,25.31362232725454
2020,Const Supplies CS/SD,CUTFIL,Good,23.13462486913968
2020,Const Supplies CS/SD,CUTHOL,Best,18.12709592466731
2020,Const Supplies CS/SD,CUTHOL,Better,30.612545592242526
2020,Const Supplies CS/SD,CUTHOL,Good,29.882483271949596
2020,Const Supplies CS/SD,CUTINS,Best,25.666422037949754
2020,Const Supplies CS/SD,CUTINS,Better,27.14721940131396
2020,Const Supplies CS/SD,CUTINS,Good,11.502881843066358
2020,Const Supplies CS/SD,CUTMIS,Best,21.5983277728982
2020,Const Supplies CS/SD,CUTMIS,Better,14.348650714580723
2020,Const Supplies CS/SD,CUTMIS,Good,27.544237902724195
2020,Const Supplies CS/SD,CUTPUN,Best,18.0341319330489
2020,Const Supplies CS/SD,CUTPUN,Better,25.91425951155681
2020,Const Supplies CS/SD,CUTPUN,Good,15.362272765638421
2020,Const Supplies CS/SD,CUTREA,Best,21.911021366372466
2020,Const Supplies CS/SD,CUTREA,Better,25.249354292316283
2020,Const Supplies CS/SD,CUTREA,Good,24.672975919695944
2020,Const Supplies CS/SD,CUTTAP,Best,33.07300166207532
2020,Const Supplies CS/SD,CUTTAP,Better,28.33742663125963
2020,Const Supplies CS/SD,CUTTAP,Good,10.963339368831324
2020,Const Supplies CS/SD,CUTWHL,Best,24.78689861130997
2020,Const Supplies CS/SD,CUTWHL,Better,28.297919297256207
2020,Const Supplies CS/SD,CUTWHL,Good,28.966075258173383
2020,Const Supplies CS/SD,ELEADP,Best,29.284246600788723
2020,Const Supplies CS/SD,ELEADP,Better,28.739428375479374
2020,Const Supplies CS/SD,ELEADP,Good,29.673848423727996
2020,Const Supplies CS/SD,ELEBAT,Best,19.19945619537653
2020,Const Supplies CS/SD,ELEBAT,Better,29.22441833372672
2020,Const Supplies CS/SD,ELEBAT,Good,24.465499076536226
2020,Const Supplies CS/SD,ELEBUL,Best,20.09753438444584
2020,Const Supplies CS/SD,ELEBUL,Better,28.198234446340628
2020,Const Supplies CS/SD,ELEBUL,Good,20.7055830813046
2020,Const Supplies CS/SD,ELECAB,Best,7.86785760312917
2020,Const Supplies CS/SD,ELECAB,Better,14.053333333333343
2020,Const Supplies CS/SD,ELEEXT,Best,16.06361719300282
2020,Const Supplies CS/SD,ELEEXT,Better,23.125368030315038
2020,Const Supplies CS/SD,ELEEXT,Good,21.896512503701597
2020,Const Supplies CS/SD,ELEGFI,Best,16.34792672391016
2020,Const Supplies CS/SD,ELEGFI,Better,32.902117221893086
2020,Const Supplies CS/SD,ELEGFI,Good,32.910281950407416
2020,Const Supplies CS/SD,ELELIG,Best,22.318126084587703
2020,Const Supplies CS/SD,ELELIG,Better,22.959677705355208
2020,Const Supplies CS/SD,ELELIG,Good,22.782163478623495
2020,Const Supplies CS/SD,ELEMIS,Best,21.355841371918544
2020,Const Supplies CS/SD,ELEMIS,Better,25.670794455432343
2020,Const Supplies CS/SD,ELEMIS,Good,15.636524500768488
2020,Const Supplies CS/SD,ELEPAR,Better,38.837797411598835
