Quarter,Group,customer_category,Product_Class,Stock,Profit_Margin
2020Q1,Const Supplies CS/SD,Best,EQUMIS,N,25.0
2020Q1,Const Supplies CS/SD,Best,FASANC,N,57.00560448358687
2020Q1,Const Supplies CS/SD,Best,FASBOL,N,23.99140325700744
2020Q1,Const Supplies CS/SD,Best,HANBAG,N,24.453125000000004
2020Q1,Const Supplies CS/SD,Best,HANBAG,Y,3.60587002096436
2020Q1,Const Supplies CS/SD,Best,HANBAR,N,20.95519270738248
2020Q1,Const Supplies CS/SD,Best,HANBAR,Y,31.295938643282753
2020Q1,Const Supplies CS/SD,Best,HANBOX,N,20.0
2020Q1,Const Supplies CS/SD,Best,HANCHI,N,43.95628733421079
2020Q1,Const Supplies CS/SD,Best,HANCLM,N,38.28341901478804
2020Q1,Const Supplies CS/SD,Best,HANFLA,Y,36.60975609756096
2020Q1,Const Supplies CS/SD,Best,HANGAU,N,16.00004125228176
2020Q1,Const Supplies CS/SD,Best,HANGUN,N,15.952782462057325
2020Q1,Const Supplies CS/SD,Best,HANGUN,Y,45.945378151260506
2020Q1,Const Supplies CS/SD,Best,HANHAM,N,25.55942322872729
2020Q1,Const Supplies CS/SD,Best,HANHAN,N,14.059451793981573
2020Q1,Const Supplies CS/SD,Best,HANHAN,Y,20.0
2020Q1,Const Supplies CS/SD,Best,HANHEX,N,25.641025641025642
2020Q1,Const Supplies CS/SD,Best,HANKNI,N,14.68144044321329
2020Q1,Const Supplies CS/SD,Best,HANKNI,Y,15.967073702573044
2020Q1,Const Supplies CS/SD,Best,HANLEV,N,16.7487684729064
2020Q1,Const Supplies CS/SD,Best,HANLEV,Y,30.58744993324433
2020Q1,Const Supplies CS/SD,Best,HANLOC,N,34.04987102321583
2020Q1,Const Supplies CS/SD,Best,HANLOC,Y,10.573843295537145
2020Q1,Const Supplies CS/SD,Best,HANMAG,N,15.975975975975969
2020Q1,Const Supplies CS/SD,Best,HANMIS,N,59.55506050936239
2020Q1,Const Supplies CS/SD,Best,HANNUT,N,25.90799031476997
2020Q1,Const Supplies CS/SD,Best,HANPIN,N,34.19050720620842
2020Q1,Const Supplies CS/SD,Best,HANPIN,Y,26.063157894736843
2020Q1,Const Supplies CS/SD,Best,HANPLI,N,17.964601769911514
2020Q1,Const Supplies CS/SD,Best,HANPLI,Y,15.966386554621844
2020Q1,Const Supplies CS/SD,Best,HANPRT,N,16.051895213535975
2020Q1,Const Supplies CS/SD,Best,HANPRT,Y,22.957559572888336
2020Q1,Const Supplies CS/SD,Best,HANPUN,N,25.917431192660555
2020Q1,Const Supplies CS/SD,Best,HANPUN,Y,4.175824175824172
2020Q1,Const Supplies CS/SD,Best,HANSCR,N,18.022967054467735
2020Q1,Const Supplies CS/SD,Best,HANSHO,N,33.79486642221058
2020Q1,Const Supplies CS/SD,Best,HANSHO,Y,41.35109717868339
2020Q1,Const Supplies CS/SD,Best,HANSNI,Y,15.966642549788652
2020Q1,Const Supplies CS/SD,Best,HANSOC,N,21.68605071155097
2020Q1,Const Supplies CS/SD,Best,HANSQU,N,-1.226993865030685
2020Q1,Const Supplies CS/SD,Best,HANTAP,N,28.466830787567236
2020Q1,Const Supplies CS/SD,Best,HANTAP,Y,15.966264938184953
2020Q1,Const Supplies CS/SD,Best,HANTBE,N,50.0
2020Q1,Const Supplies CS/SD,Best,HANUNI,N,24.247967479674795
2020Q1,Const Supplies CS/SD,Best,HANWED,N,26.769911504424773
2020Q1,Const Supplies CS/SD,Best,HANWED,Y,-8.014101057579316
2020Q1,Const Supplies CS/SD,Best,HANWRA,N,36.42629904559914
2020Q1,Const Supplies CS/SD,Best,HANWRC,N,24.242665089250607
2020Q1,Const Supplies CS/SD,Best,HANWRH,N,11.263736263736268
2020Q1,Const Supplies CS/SD,Best,HANWRH,Y,9.459854793935511
2020Q1,Const Supplies CS/SD,Best,HANWRM,N,11.315217391304342
2020Q1,Const Supplies CS/SD,Best,HANWRM,Y,25.86206896551724
2020Q1,Const Supplies CS/SD,Best,HANWRP,Y,20.692313288493224
2020Q1,Const Supplies CS/SD,Best,HANWRS,N,6.17678571428572
2020Q1,Const Supplies CS/SD,Best,HANWRT,N,25.63028166913274
2020Q1,Const Supplies CS/SD,Best,HWCAHS,N,11.864935541588293
2020Q1,Const Supplies CS/SD,Best,HWCAHS,Y,16.45994832041344
2020Q1,Const Supplies CS/SD,Best,HWCFIT,N,15.789473684210526
2020Q1,Const Supplies CS/SD,Best,HWCFIT,Y,13.360630066322777
2020Q1,Const Supplies CS/SD,Best,HWCTIE,N,27.10883424408015
2020Q1,Const Supplies CS/SD,Best,HWCTIE,Y,16.137463104578927
2020Q1,Const Supplies CS/SD,Best,HWCWIR,N,26.326259946949605
2020Q1,Const Supplies CS/SD,Best,HWCWIR,Y,32.80898876404494
2020Q1,Const Supplies CS/SD,Best,HYDACC,Y,9.068809229501444
2020Q1,Const Supplies CS/SD,Best,HYDCYL,N,16.612901083722903
2020Q1,Const Supplies CS/SD,Best,HYDHOS,N,24.0
2020Q1,Const Supplies CS/SD,Best,HYDPUN,N,18.0341319330489
2020Q1,Const Supplies CS/SD,Best,LADPLA,N,25.0
2020Q1,Const Supplies CS/SD,Best,LADSTF,N,20.000611078859738
2020Q1,Const Supplies CS/SD,Best,LIFBLO,N,18.03312672319078
2020Q1,Const Supplies CS/SD,Best,LIFCHA,N,20.026342479403738
2020Q1,Const Supplies CS/SD,Best,LIFCLA,N,20.0
2020Q1,Const Supplies CS/SD,Best,LIFCLI,N,20.141918919685665
2020Q1,Const Supplies CS/SD,Best,LIFCLI,Y,23.887043189368768
2020Q1,Const Supplies CS/SD,Best,LIFFIT,N,25.09405568096313
2020Q1,Const Supplies CS/SD,Best,LIFFIT,Y,21.994310429163555
2020Q1,Const Supplies CS/SD,Best,LIFHOI,N,19.65304517216648
2020Q1,Const Supplies CS/SD,Best,LIFHOI,Y,19.00181610277796
2020Q1,Const Supplies CS/SD,Best,LIFLAT,N,31.0
2020Q1,Const Supplies CS/SD,Best,LIFLAT,Y,4.82193732193732
2020Q1,Const Supplies CS/SD,Best,LIFMIS,N,18.289473684210524
2020Q1,Const Supplies CS/SD,Best,LIFNSL,N,20.875000000000004
2020Q1,Const Supplies CS/SD,Best,LIFNSL,Y,15.966416361914426
2020Q1,Const Supplies CS/SD,Best,LIFPRT,N,25.49703522846181
2020Q1,Const Supplies CS/SD,Best,LIFPRT,Y,23.964088397790057
2020Q1,Const Supplies CS/SD,Best,LIFPSL,N,22.000356569798544
2020Q1,Const Supplies CS/SD,Best,LIFPUL,N,20.217819818662722
2020Q1,Const Supplies CS/SD,Best,LIFPUL,Y,22.00091620038612
2020Q1,Const Supplies CS/SD,Best,LIFROP,N,25.0
2020Q1,Const Supplies CS/SD,Best,LIFROP,Y,46.006658832745785
2020Q1,Const Supplies CS/SD,Best,LIFRSL,N,27.261305830398566
2020Q1,Const Supplies CS/SD,Best,LIFRSL,Y,-7.133313616743243
2020Q1,Const Supplies CS/SD,Best,LIFSHA,N,25.882825040128417
2020Q1,Const Supplies CS/SD,Best,LIFSHA,Y,17.057085643130073
2020Q1,Const Supplies CS/SD,Best,LIFSPR,N,4.034376427592513
2020Q1,Const Supplies CS/SD,Best,LIFTRO,N,18.04600371802013
2020Q1,Const Supplies CS/SD,Best,LIFTUR,N,19.765116285336916
2020Q1,Const Supplies CS/SD,Best,LIFWSL,N,25.0
2020Q1,Const Supplies CS/SD,Best,LIFWSL,Y,9.690721649484544
2020Q1,Const Supplies CS/SD,Best,MAIACC,N,28.99408284023669
2020Q1,Const Supplies CS/SD,Best,MAIACC,Y,33.837359943977596
2020Q1,Const Supplies CS/SD,Best,MAIBUC,N,26.681367144432198
2020Q1,Const Supplies CS/SD,Best,MAICAN,N,12.090680100755678
2020Q1,Const Supplies CS/SD,Best,MAIFIL,N,18.29268292682926
2020Q1,Const Supplies CS/SD,Best,MAIMIS,N,32.266666666666666
2020Q1,Const Supplies CS/SD,Best,MAIPOL,N,27.490831914763366
2020Q1,Const Supplies CS/SD,Best,MAIPOL,Y,3.372359378976828
2020Q1,Const Supplies CS/SD,Best,MAIRAG,N,18.004501125281323
2020Q1,Const Supplies CS/SD,Best,MAIRAG,Y,11.893634165995172
2020Q1,Const Supplies CS/SD,Best,MAITAP,N,20.00000000000001
2020Q1,Const Supplies CS/SD,Best,MAITAP,Y,19.922879177377887
2020Q1,Const Supplies CS/SD,Best,MAITOW,N,13.673020527859238
2020Q1,Const Supplies CS/SD,Best,MAITOW,Y,9.595959595959592
2020Q1,Const Supplies CS/SD,Best,MATBOX,N,18.098616931807737
2020Q1,Const Supplies CS/SD,Best,MATCAB,N,27.499877923726743
2020Q1,Const Supplies CS/SD,Best,MATCAN,N,-7.306501547987615
2020Q1,Const Supplies CS/SD,Best,MATCAR,N,24.24132947976879
2020Q1,Const Supplies CS/SD,Best,MATMIS,N,14.399999999999997
2020Q1,Const Supplies CS/SD,Best,MATPAL,N,26.63361344537816
2020Q1,Const Supplies CS/SD,Best,MATROL,N,25.000930509547032
2020Q1,Const Supplies CS/SD,Best,MFGRSL,N,22.810489856506685
2020Q1,Const Supplies CS/SD,Best,POWACC,N,29.61142394922689
2020Q1,Const Supplies CS/SD,Best,POWACC,Y,9.251833740831293
2020Q1,Const Supplies CS/SD,Best,POWCHP,N,13.202614379084975
2020Q1,Const Supplies CS/SD,Best,POWDRE,N,12.143352454552518
2020Q1,Const Supplies CS/SD,Best,POWGRE,N,15.965489258104473
2020Q1,Const Supplies CS/SD,Best,POWGRE,Y,19.3179280130573
2020Q1,Const Supplies CS/SD,Best,POWHAE,N,12.281482536404743
2020Q1,Const Supplies CS/SD,Best,POWMIS,N,29.9672131147541
2020Q1,Const Supplies CS/SD,Best,POWMIS,Y,31.18872549019608
2020Q1,Const Supplies CS/SD,Best,POWPAR,N,26.868288963720687
2020Q1,Const Supplies CS/SD,Best,POWSAW,N,19.396903015484927
2020Q1,Const Supplies CS/SD,Best,POWSAW,Y,18.063295974948566
2020Q1,Const Supplies CS/SD,Best,POWVAC,N,25.002305634971883
2020Q1,Const Supplies CS/SD,Best,POWWRE,N,17.146515649316967
2020Q1,Const Supplies CS/SD,Best,POWWRE,Y,12.498068503734224
2020Q1,Const Supplies CS/SD,Best,POWWRP,N,24.669793527763527
2020Q1,Const Supplies CS/SD,Best,SAFCAP,N,30.03048780487805
2020Q1,Const Supplies CS/SD,Best,SAFCAP,Y,10.842293906810024
2020Q1,Const Supplies CS/SD,Best,SAFCOV,N,15.966386554621844
2020Q1,Const Supplies CS/SD,Best,SAFDRI,N,25.52072902062888
2020Q1,Const Supplies CS/SD,Best,SAFDRI,Y,39.24050632911393
2020Q1,Const Supplies CS/SD,Best,SAFETY,N,18.39068290100582
2020Q1,Const Supplies CS/SD,Best,SAFETY,Y,15.966515158471458
2020Q1,Const Supplies CS/SD,Best,SAFEXT,N,15.676464456952251
2020Q1,Const Supplies CS/SD,Best,SAFEXT,Y,35.55699855699856
2020Q1,Const Supplies CS/SD,Best,SAFFIR,N,30.131004366812228
2020Q1,Const Supplies CS/SD,Best,SAFGLA,N,18.79518072289157
2020Q1,Const Supplies CS/SD,Best,SAFGLA,Y,34.24242424242424
2020Q1,Const Supplies CS/SD,Best,SAFGLO,N,21.966439802863178
2020Q1,Const Supplies CS/SD,Best,SAFGLO,Y,15.966386554621849
2020Q1,Const Supplies CS/SD,Best,SAFGOG,N,36.23853211009174
2020Q1,Const Supplies CS/SD,Best,SAFHAR,N,31.192307692307693
2020Q1,Const Supplies CS/SD,Best,SAFKNE,N,15.72228465179294
2020Q1,Const Supplies CS/SD,Best,SAFKNE,Y,16.421785940468652
2020Q1,Const Supplies CS/SD,Best,SAFLAN,N,20.847982040896003
2020Q1,Const Supplies CS/SD,Best,SAFLEN,N,-30.75213675213676
2020Q1,Const Supplies CS/SD,Best,SAFLIF,N,26.5
2020Q1,Const Supplies CS/SD,Best,SAFMIS,N,17.136842105263153
2020Q1,Const Supplies CS/SD,Best,SAFNOI,N,25.86950586950587
2020Q1,Const Supplies CS/SD,Best,SAFNOI,Y,15.983606557377051
2020Q1,Const Supplies CS/SD,Best,SAFROL,N,17.245614035087723
2020Q1,Const Supplies CS/SD,Best,SAFTAG,N,27.8740157480315
