,Year,Group,Product_Class,customer_category,Profit_Margin,Product Class,Category,Target Margin,Margin Difference(%)
173,2020,Const Supplies CS/SD,ELEPLG,Best,20.441471297811518,ELEPLG,Best,34.0,-13.558528702188482
176,2020,Const Supplies CS/SD,ELETAP,Best,21.012658227848107,ELETAP,Best,38.0,-16.987341772151893
182,2020,Const Supplies CS/SD,EQUCOM,Best,33.49786811827434,EQUCOM,Best,22.0,11.49786811827434
185,2020,Const Supplies CS/SD,EQUFAN,Best,16.477639471192443,EQUFAN,Best,22.0,-5.522360528807557
191,2020,Const Supplies CS/SD,EQUHEA,Best,18.957591514046264,EQUHEA,Best,22.0,-3.042408485953736
194,2020,Const Supplies CS/SD,EQUJAC,Best,30.007178750897346,EQUJAC,Best,22.0,8.007178750897346
197,2020,Const Supplies CS/SD,EQULIG,Best,-0.44214396284829727,EQULIG,Best,22.0,-22.4421439628483
203,2020,Const Supplies CS/SD,EQUPIC,Best,100.0,EQUPIC,Best,22.0,78.0
214,2020,Const Supplies CS/SD,FASANC,Best,36.00329119152941,FASANC,Best,38.0,-1.9967088084705935
217,2020,Const Supplies CS/SD,FASBOL,Best,30.9596169757571,FASBOL,Best,38.0,-7.0403830242428995
225,2020,Const Supplies CS/SD,FASPAR,Best,50.0,FASPAR,Best,34.0,16.0
226,2020,Const Supplies CS/SD,HANADP,Best,20.407550793793703,HANADP,Best,28.0,-7.592449206206297
229,2020,Const Supplies CS/SD,HANBAG,Best,24.453125000000004,HANBAG,Best,28.0,-3.5468749999999964
232,2020,Const Supplies CS/SD,HANBAR,Best,26.170085750841082,HANBAR,Best,28.0,-1.829914249158918
236,2020,Const Supplies CS/SD,HANBIT,Best,14.153723616089206,HANBIT,Best,28.0,-13.846276383910794
239,2020,Const Supplies CS/SD,HANBOX,Best,17.066666666666666,HANBOX,Best,28.0,-10.933333333333334
242,2020,Const Supplies CS/SD,HANBUL,Best,24.43867671898818,HANBUL,Best,28.0,-3.56132328101182
246,2020,Const Supplies CS/SD,HANCCT,Best,32.58319778011674,HANCCT,Best,28.0,4.583197780116741
249,2020,Const Supplies CS/SD,HANCEM,Best,54.40414507772021,HANCEM,Best,28.0,26.40414507772021
251,2020,Const Supplies CS/SD,HANCHI,Best,32.63958932633631,HANCHI,Best,28.0,4.6395893263363135
254,2020,Const Supplies CS/SD,HANCLM,Best,22.480306815486557,HANCLM,Best,28.0,-5.519693184513443
257,2020,Const Supplies CS/SD,HANCOO,Best,25.09047044632086,HANCOO,Best,28.0,-2.909529553679139
260,2020,Const Supplies CS/SD,HANDIA,Best,21.859039836567923,HANDIA,Best,28.0,-6.1409601634320765
263,2020,Const Supplies CS/SD,HANEXT,Best,20.862603940775266,HANEXT,Best,28.0,-7.137396059224734
266,2020,Const Supplies CS/SD,HANFLA,Best,21.96593905476844,HANFLA,Best,28.0,-6.034060945231559
271,2020,Const Supplies CS/SD,HANGAU,Best,20.125134646465405,HANGAU,Best,28.0,-7.874865353534595
274,2020,Const Supplies CS/SD,HANGUN,Best,15.952782462057325,HANGUN,Best,28.0,-12.047217537942675
277,2020,Const Supplies CS/SD,HANHAM,Best,21.19257205456079,HANHAM,Best,28.0,-6.807427945439208
280,2020,Const Supplies CS/SD,HANHAN,Best,25.521500990560547,HANHAN,Best,28.0,-2.478499009439453
283,2020,Const Supplies CS/SD,HANHEX,Best,25.641025641025642,HANHEX,Best,28.0,-2.3589743589743577
286,2020,Const Supplies CS/SD,HANKNI,Best,15.88856594955314,HANKNI,Best,28.0,-12.11143405044686
289,2020,Const Supplies CS/SD,HANLEV,Best,15.951417004048574,HANLEV,Best,28.0,-12.048582995951426
292,2020,Const Supplies CS/SD,HANLOC,Best,26.45654250238778,HANLOC,Best,28.0,-1.54345749761222
295,2020,Const Supplies CS/SD,HANMAG,Best,15.975975975975969,HANMAG,Best,28.0,-12.024024024024031
300,2020,Const Supplies CS/SD,HANMIS,Best,25.245901639344265,HANMIS,Best,28.0,-2.7540983606557354
303,2020,Const Supplies CS/SD,HANNUT,Best,18.44155844155844,HANNUT,Best,28.0,-9.558441558441562
306,2020,Const Supplies CS/SD,HANPIC,Best,23.499165654157792,HANPIC,Best,28.0,-4.5008343458422075
308,2020,Const Supplies CS/SD,HANPIN,Best,20.780711825487945,HANPIN,Best,28.0,-7.219288174512055
311,2020,Const Supplies CS/SD,HANPLI,Best,15.630621271038024,HANPLI,Best,28.0,-12.369378728961976
314,2020,Const Supplies CS/SD,HANPLU,Best,15.027322404371592,HANPLU,Best,28.0,-12.972677595628408
317,2020,Const Supplies CS/SD,HANPRT,Best,21.67600320109751,HANPRT,Best,34.0,-12.323996798902488
322,2020,Const Supplies CS/SD,HANPUN,Best,16.740322950068716,HANPUN,Best,28.0,-11.259677049931284
325,2020,Const Supplies CS/SD,HANRAT,Best,19.99764039641341,HANRAT,Best,28.0,-8.00235960358659
328,2020,Const Supplies CS/SD,HANRUL,Best,18.4659090909091,HANRUL,Best,28.0,-9.5340909090909
336,2020,Const Supplies CS/SD,HANSCR,Best,22.160333515582284,HANSCR,Best,28.0,-5.839666484417716
339,2020,Const Supplies CS/SD,HANSHM,Best,33.564245810055866,HANSHM,Best,28.0,5.564245810055866
342,2020,Const Supplies CS/SD,HANSHO,Best,36.554093436923566,HANSHO,Best,28.0,8.554093436923566
345,2020,Const Supplies CS/SD,HANSNI,Best,16.056758775205378,HANSNI,Best,28.0,-11.943241224794622
348,2020,Const Supplies CS/SD,HANSOC,Best,18.050142064986076,HANSOC,Best,28.0,-9.949857935013924
353,2020,Const Supplies CS/SD,HANSPN,Best,39.402784014369104,HANSPN,Best,28.0,11.402784014369104
356,2020,Const Supplies CS/SD,HANSQU,Best,14.591221759434546,HANSQU,Best,28.0,-13.408778240565454
359,2020,Const Supplies CS/SD,HANSTP,Best,25.00242647772494,HANSTP,Best,28.0,-2.9975735222750615
361,2020,Const Supplies CS/SD,HANTAP,Best,22.982216142270858,HANTAP,Best,28.0,-5.0177838577291425
364,2020,Const Supplies CS/SD,HANTBE,Best,50.0,HANTBE,Best,28.0,22.0
367,2020,Const Supplies CS/SD,HANTHR,Best,13.900018798715466,HANTHR,Best,28.0,-14.099981201284534
371,2020,Const Supplies CS/SD,HANTUB,Best,55.61023622047244,HANTUB,Best,28.0,27.610236220472437
374,2020,Const Supplies CS/SD,HANUNI,Best,18.45943482224248,HANUNI,Best,28.0,-9.540565177757522
377,2020,Const Supplies CS/SD,HANVIS,Best,16.02369731655677,HANVIS,Best,28.0,-11.97630268344323
380,2020,Const Supplies CS/SD,HANWED,Best,20.250929627260536,HANWED,Best,28.0,-7.749070372739464
383,2020,Const Supplies CS/SD,HANWHL,Best,40.37766171153074,HANWHL,Best,28.0,12.377661711530742
386,2020,Const Supplies CS/SD,HANWRA,Best,17.2465208747515,HANWRA,Best,28.0,-10.7534791252485
389,2020,Const Supplies CS/SD,HANWRC,Best,18.259149437259723,HANWRC,Best,28.0,-9.740850562740277
392,2020,Const Supplies CS/SD,HANWRH,Best,13.39285714285715,HANWRH,Best,28.0,-14.60714285714285
395,2020,Const Supplies CS/SD,HANWRM,Best,16.02540466498176,HANWRM,Best,28.0,-11.97459533501824
