Year,Group,Product_Class,customer_category,Profit_Margin
2020,Const Supplies CS/SD,CHEMIS,Good,25.8878091028067
2020,Const Supplies CS/SD,CHEOIL,Best,17.40940971677932
2020,Const Supplies CS/SD,CHEOIL,Better,25.243275202946517
2020,Const Supplies CS/SD,CHEOIL,Good,25.977584503375326
2020,Const Supplies CS/SD,CHEPAI,Best,32.103078959912274
2020,Const Supplies CS/SD,CHEPAI,Better,33.69187494387348
2020,Const Supplies CS/SD,CHEPAI,Good,30.503414664133228
2020,Const Supplies CS/SD,CHETEF,Best,25.84622752726201
2020,Const Supplies CS/SD,CHETEF,Better,22.968363483877667
2020,Const Supplies CS/SD,CHETEF,Good,20.60339598906293
2020,Const Supplies CS/SD,CMPRSL,Best,21.501602160566396
2020,Const Supplies CS/SD,CMPRSL,Better,18.99547379179442
2020,Const Supplies CS/SD,CUTARB,Best,20.319365194190766
2020,Const Supplies CS/SD,CUTARB,Better,25.961377169424583
2020,Const Supplies CS/SD,CUTARB,Good,26.067435496649203
2020,Const Supplies CS/SD,CUTBAN,Best,19.832398894118555
2020,Const Supplies CS/SD,CUTBAN,Better,23.938006351847754
2020,Const Supplies CS/SD,CUTBAN,Good,26.167397123285753
2020,Const Supplies CS/SD,CUTBIT,Best,26.372737509507207
2020,Const Supplies CS/SD,CUTBIT,Better,28.593595475556445
2020,Const Supplies CS/SD,CUTBIT,Good,28.082904454395006
2020,Const Supplies CS/SD,CUTBUR,Best,20.306392420542036
2020,Const Supplies CS/SD,CUTBUR,Better,32.72720900574346
2020,Const Supplies CS/SD,CUTBUR,Good,27.31603502790726
2020,Const Supplies CS/SD,CUTCHU,Best,15.047669715232768
2020,Const Supplies CS/SD,CUTCHU,Better,36.68221577193043
2020,Const Supplies CS/SD,CUTCHU,Good,24.993136959369664
2020,Const Supplies CS/SD,CUTCIR,Best,24.72339930836158
2020,Const Supplies CS/SD,CUTCIR,Better,30.77483529559761
2020,Const Supplies CS/SD,CUTCIR,Good,28.699479079375795
2020,Const Supplies CS/SD,CUTCUT,Best,22.49812577091016
2020,Const Supplies CS/SD,CUTCUT,Better,30.645524827672784
2020,Const Supplies CS/SD,CUTCUT,Good,30.47328628700369
2020,Const Supplies CS/SD,CUTDIE,Best,27.051380398876773
2020,Const Supplies CS/SD,CUTDIE,Better,23.802758867570404
2020,Const Supplies CS/SD,CUTDIE,Good,23.26878073768551
2020,Const Supplies CS/SD,CUTEND,Best,36.18130949162591
2020,Const Supplies CS/SD,CUTEND,Better,19.005531884338858
2020,Const Supplies CS/SD,CUTEND,Good,17.99208348326736
2020,Const Supplies CS/SD,CUTFIL,Best,26.81829406755514
2020,Const Supplies CS/SD,CUTFIL,Better,25.710320472311007
2020,Const Supplies CS/SD,CUTFIL,Good,22.968715216089105
2020,Const Supplies CS/SD,CUTHOL,Best,26.71941689343679
2020,Const Supplies CS/SD,CUTHOL,Better,29.601756617729812
2020,Const Supplies CS/SD,CUTHOL,Good,30.98292665860278
2020,Const Supplies CS/SD,CUTINS,Best,27.412753442862133
2020,Const Supplies CS/SD,CUTINS,Better,28.11056116369006
2020,Const Supplies CS/SD,CUTINS,Good,20.919145293207954
2020,Const Supplies CS/SD,CUTMIS,Best,19.329633056539443
2020,Const Supplies CS/SD,CUTMIS,Better,18.239928131034407
2020,Const Supplies CS/SD,CUTMIS,Good,27.974765708616033
2020,Const Supplies CS/SD,CUTPUN,Best,18.0341319330489
2020,Const Supplies CS/SD,CUTPUN,Better,25.999952196845932
2020,Const Supplies CS/SD,CUTPUN,Good,17.760020554984585
2020,Const Supplies CS/SD,CUTREA,Best,20.107756667844008
2020,Const Supplies CS/SD,CUTREA,Better,26.088814491652677
2020,Const Supplies CS/SD,CUTREA,Good,25.189373260960735
2020,Const Supplies CS/SD,CUTTAP,Best,30.836639490290754
2020,Const Supplies CS/SD,CUTTAP,Better,27.993691900174564
2020,Const Supplies CS/SD,CUTTAP,Good,27.341883415071546
2020,Const Supplies CS/SD,CUTWHL,Best,23.824859542591557
2020,Const Supplies CS/SD,CUTWHL,Better,27.98549480400132
2020,Const Supplies CS/SD,CUTWHL,Good,27.442957191648816
2020,Const Supplies CS/SD,ELEADP,Best,27.150229505063606
2020,Const Supplies CS/SD,ELEADP,Better,29.431262011829126
2020,Const Supplies CS/SD,ELEADP,Good,31.887403022815747
2020,Const Supplies CS/SD,ELEBAT,Best,20.494300273240086
2020,Const Supplies CS/SD,ELEBAT,Better,27.53255781996449
2020,Const Supplies CS/SD,ELEBAT,Good,23.283434344644515
2020,Const Supplies CS/SD,ELEBUL,Best,20.24778126880997
2020,Const Supplies CS/SD,ELEBUL,Better,31.541202347608586
2020,Const Supplies CS/SD,ELEBUL,Good,27.732201608132826
2020,Const Supplies CS/SD,ELECAB,Best,7.86785760312917
2020,Const Supplies CS/SD,ELECAB,Better,14.053333333333342
2020,Const Supplies CS/SD,ELEEXT,Best,16.335693147160093
2020,Const Supplies CS/SD,ELEEXT,Better,25.054822669377216
2020,Const Supplies CS/SD,ELEEXT,Good,24.537394193939868
2020,Const Supplies CS/SD,ELEGFI,Best,17.163351565779248
2020,Const Supplies CS/SD,ELEGFI,Better,31.12193399303183
2020,Const Supplies CS/SD,ELEGFI,Good,34.11397955014014
2020,Const Supplies CS/SD,ELELIG,Best,22.336018771449627
2020,Const Supplies CS/SD,ELELIG,Better,20.22423616317377
2020,Const Supplies CS/SD,ELELIG,Good,20.93068167635602
2020,Const Supplies CS/SD,ELEMIS,Best,21.355841371918544
2020,Const Supplies CS/SD,ELEMIS,Better,22.496291078470076
2020,Const Supplies CS/SD,ELEMIS,Good,13.433916410905624
2020,Const Supplies CS/SD,ELEPAR,Better,38.837797411598835
2020,Const Supplies CS/SD,ELEPAR,Good,28.22842866122155
2020,Const Supplies CS/SD,ELEPLG,Best,20.840072582599127
2020,Const Supplies CS/SD,ELEPLG,Better,29.563942741713227
2020,Const Supplies CS/SD,ELEPLG,Good,23.843865729031922
2020,Const Supplies CS/SD,ELETAP,Best,20.29660510600519
2020,Const Supplies CS/SD,ELETAP,Better,30.54312932910624
2020,Const Supplies CS/SD,ELETAP,Good,27.962855005401067
2020,Const Supplies CS/SD,ELETRS,Good,48.736263736263744
2020,Const Supplies CS/SD,EQUACC,Better,31.06717042028052
2020,Const Supplies CS/SD,EQUACC,Good,37.115333568544905
2020,Const Supplies CS/SD,EQUCOM,Best,33.49786811827434
2020,Const Supplies CS/SD,EQUCOM,Better,42.65237147226774
2020,Const Supplies CS/SD,EQUCOM,Good,32.09188185552739
2020,Const Supplies CS/SD,EQUFAN,Best,16.477639471192443
2020,Const Supplies CS/SD,EQUFAN,Better,22.90886803618756
2020,Const Supplies CS/SD,EQUFAN,Good,21.638571495665364
2020,Const Supplies CS/SD,EQUGEN,Best,12.0
2020,Const Supplies CS/SD,EQUGEN,Better,14.696140004986669
2020,Const Supplies CS/SD,EQUGEN,Good,13.831060899578201
2020,Const Supplies CS/SD,EQUHEA,Best,18.957591514046264
2020,Const Supplies CS/SD,EQUHEA,Better,32.04058030627782
2020,Const Supplies CS/SD,EQUHEA,Good,22.14337320954625
2020,Const Supplies CS/SD,EQUJAC,Best,27.735676121129757
2020,Const Supplies CS/SD,EQUJAC,Better,23.187654839724928
2020,Const Supplies CS/SD,EQUJAC,Good,19.900050307160754
2020,Const Supplies CS/SD,EQULIG,Best,0.46533002195993034
2020,Const Supplies CS/SD,EQULIG,Better,35.297180418831694
2020,Const Supplies CS/SD,EQULIG,Good,32.84991713415813
2020,Const Supplies CS/SD,EQUMIS,Best,23.62683758869152
2020,Const Supplies CS/SD,EQUMIS,Better,21.754956942996333
2020,Const Supplies CS/SD,EQUMIS,Good,20.815605921107124
2020,Const Supplies CS/SD,EQUPIC,Best,100.0
2020,Const Supplies CS/SD,EQUPIC,Better,25.753793909700704
2020,Const Supplies CS/SD,EQUPIC,Good,17.00824966022653
2020,Const Supplies CS/SD,EQUPRE,Good,15.549219019063631
2020,Const Supplies CS/SD,EQUPUM,Best,21.777807720335954
2020,Const Supplies CS/SD,EQUPUM,Better,27.619281661461926
2020,Const Supplies CS/SD,EQUPUM,Good,20.717199950986792
2020,Const Supplies CS/SD,EQURAD,Good,19.745454545454542
2020,Const Supplies CS/SD,EQUTHR,Better,19.000210798927924
2020,Const Supplies CS/SD,EQUTHR,Good,12.345169061781448
2020,Const Supplies CS/SD,EQUVAC,Good,14.803421905560345
2020,Const Supplies CS/SD,FASANC,Best,36.00329119152941
2020,Const Supplies CS/SD,FASANC,Better,28.74051849386396
2020,Const Supplies CS/SD,FASANC,Good,19.051518380538425
2020,Const Supplies CS/SD,FASBOL,Best,18.458229672365434
2020,Const Supplies CS/SD,FASBOL,Better,36.47201841737723
2020,Const Supplies CS/SD,FASBOL,Good,19.408036992869306
2020,Const Supplies CS/SD,FASHIN,Better,27.92705059753798
2020,Const Supplies CS/SD,FASHIN,Good,35.3993491661264
2020,Const Supplies CS/SD,FASKEY,Good,48.34229390681004
2020,Const Supplies CS/SD,FASMIS,Better,35.53491634080801
2020,Const Supplies CS/SD,FASMIS,Good,29.46000349003927
2020,Const Supplies CS/SD,FASPAR,Best,50.0
2020,Const Supplies CS/SD,HANADP,Best,21.466120414605584
2020,Const Supplies CS/SD,HANADP,Better,27.51703422658136
2020,Const Supplies CS/SD,HANADP,Good,24.24212751132861
2020,Const Supplies CS/SD,HANBAG,Best,19.946286180266974
2020,Const Supplies CS/SD,HANBAG,Better,23.844183988481742
2020,Const Supplies CS/SD,HANBAG,Good,20.484254720338484
2020,Const Supplies CS/SD,HANBAR,Best,26.511596673141455
2020,Const Supplies CS/SD,HANBAR,Better,23.120712480812912
2020,Const Supplies CS/SD,HANBAR,Good,18.869677931309074
2020,Const Supplies CS/SD,HANBCU,Good,-54.83538024776956
2020,Const Supplies CS/SD,HANBIT,Best,6.661649739781275
2020,Const Supplies CS/SD,HANBIT,Better,28.361499307616544
2020,Const Supplies CS/SD,HANBIT,Good,28.499943794010925
2020,Const Supplies CS/SD,HANBOX,Best,17.376161616161614
2020,Const Supplies CS/SD,HANBOX,Better,24.121470932774606
2020,Const Supplies CS/SD,HANBOX,Good,22.908882085615527
2020,Const Supplies CS/SD,HANBUL,Best,20.536790738756135
2020,Const Supplies CS/SD,HANBUL,Better,25.762165526172275
2020,Const Supplies CS/SD,HANBUL,Good,21.116611260886895
2020,Const Supplies CS/SD,HANCAL,Better,18.99985920245173
2020,Const Supplies CS/SD,HANCCT,Best,32.58319778011674
2020,Const Supplies CS/SD,HANCCT,Better,26.319321731765356
2020,Const Supplies CS/SD,HANCCT,Good,25.55577095404209
2020,Const Supplies CS/SD,HANCEM,Best,54.40414507772021
2020,Const Supplies CS/SD,HANCEM,Good,-19.651756051257728
2020,Const Supplies CS/SD,HANCHI,Best,29.954598204892214
2020,Const Supplies CS/SD,HANCHI,Better,26.576390756506466
2020,Const Supplies CS/SD,HANCHI,Good,26.407273527803575
2020,Const Supplies CS/SD,HANCLM,Best,25.685205349755318
2020,Const Supplies CS/SD,HANCLM,Better,21.187268745472107
2020,Const Supplies CS/SD,HANCLM,Good,20.739911928141254
2020,Const Supplies CS/SD,HANCOO,Best,25.09047044632086
2020,Const Supplies CS/SD,HANCOO,Better,19.935677816333914
2020,Const Supplies CS/SD,HANCOO,Good,26.313722352342065
2020,Const Supplies CS/SD,HANDIA,Best,21.859039836567923
2020,Const Supplies CS/SD,HANDIA,Better,17.372967256390865
2020,Const Supplies CS/SD,HANDIA,Good,14.755793770438846
2020,Const Supplies CS/SD,HANEXT,Best,20.043116889371426
2020,Const Supplies CS/SD,HANEXT,Better,18.8780392202144
2020,Const Supplies CS/SD,HANEXT,Good,28.324441869586124
2020,Const Supplies CS/SD,HANFLA,Best,27.897775957761056
2020,Const Supplies CS/SD,HANFLA,Better,27.77901780055336
2020,Const Supplies CS/SD,HANFLA,Good,25.698010415078883
2020,Const Supplies CS/SD,HANFUN,Better,29.087803602625264
2020,Const Supplies CS/SD,HANFUN,Good,22.72133338298008
2020,Const Supplies CS/SD,HANGAU,Best,20.995506166247
2020,Const Supplies CS/SD,HANGAU,Better,17.351108273383453
2020,Const Supplies CS/SD,HANGAU,Good,18.203421548838254
2020,Const Supplies CS/SD,HANGUN,Best,25.060070216122604
2020,Const Supplies CS/SD,HANGUN,Better,25.892759877670166
2020,Const Supplies CS/SD,HANGUN,Good,22.760078617014166
2020,Const Supplies CS/SD,HANHAM,Best,21.866419193814824
2020,Const Supplies CS/SD,HANHAM,Better,24.705267343143145
2020,Const Supplies CS/SD,HANHAM,Good,22.90195220424368
2020,Const Supplies CS/SD,HANHAN,Best,23.632332283124374
2020,Const Supplies CS/SD,HANHAN,Better,29.688553157320747
2020,Const Supplies CS/SD,HANHAN,Good,25.29685339720472
2020,Const Supplies CS/SD,HANHEX,Best,25.641025641025642
2020,Const Supplies CS/SD,HANHEX,Better,21.97755885597753
2020,Const Supplies CS/SD,HANHEX,Good,23.933737947829936
2020,Const Supplies CS/SD,HANKNI,Best,15.646289207866651
2020,Const Supplies CS/SD,HANKNI,Better,23.94149967915429
2020,Const Supplies CS/SD,HANKNI,Good,25.75499504165694
2020,Const Supplies CS/SD,HANLEV,Best,17.142996206331613
2020,Const Supplies CS/SD,HANLEV,Better,24.47992312401887
2020,Const Supplies CS/SD,HANLEV,Good,19.997331047997317
2020,Const Supplies CS/SD,HANLOC,Best,25.570111428901757
2020,Const Supplies CS/SD,HANLOC,Better,24.67727654947007
2020,Const Supplies CS/SD,HANLOC,Good,23.85150238547571
2020,Const Supplies CS/SD,HANMAG,Best,15.975975975975969
2020,Const Supplies CS/SD,HANMAG,Better,20.405585846222326
2020,Const Supplies CS/SD,HANMAG,Good,19.22529742666676
2020,Const Supplies CS/SD,HANMIC,Better,15.568869421448719
2020,Const Supplies CS/SD,HANMIC,Good,13.905990274732133
2020,Const Supplies CS/SD,HANMIS,Best,27.64005844272584
2020,Const Supplies CS/SD,HANMIS,Better,23.073792723834867
2020,Const Supplies CS/SD,HANMIS,Good,26.27760916428051
2020,Const Supplies CS/SD,HANNUT,Best,19.85424513641366
2020,Const Supplies CS/SD,HANNUT,Better,22.289771339176717
2020,Const Supplies CS/SD,HANNUT,Good,23.009627319655298
2020,Const Supplies CS/SD,HANPIC,Best,23.499165654157792
2020,Const Supplies CS/SD,HANPIC,Good,14.990791896869244
2020,Const Supplies CS/SD,HANPIN,Best,22.606528106290686
2020,Const Supplies CS/SD,HANPIN,Better,22.020627953189546
2020,Const Supplies CS/SD,HANPIN,Good,21.349333493859284
2020,Const Supplies CS/SD,HANPLI,Best,13.4915624699031
2020,Const Supplies CS/SD,HANPLI,Better,20.992157160835497
2020,Const Supplies CS/SD,HANPLI,Good,21.145887978799095
2020,Const Supplies CS/SD,HANPLU,Best,15.209471766848823
2020,Const Supplies CS/SD,HANPLU,Better,-0.8963137135922297
2020,Const Supplies CS/SD,HANPLU,Good,15.520960088070801
2020,Const Supplies CS/SD,HANPRT,Best,19.299824117783853
2020,Const Supplies CS/SD,HANPRT,Better,21.89143140266302
2020,Const Supplies CS/SD,HANPRT,Good,24.02320015864397
2020,Const Supplies CS/SD,HANPUM,Better,27.331108862631215
2020,Const Supplies CS/SD,HANPUM,Good,27.21923066614545
2020,Const Supplies CS/SD,HANPUN,Best,-497.43664375635746
2020,Const Supplies CS/SD,HANPUN,Better,24.566728240814317
2020,Const Supplies CS/SD,HANPUN,Good,27.525736251087988
2020,Const Supplies CS/SD,HANRAT,Best,21.027462671073888
2020,Const Supplies CS/SD,HANRAT,Better,21.93657217714647
2020,Const Supplies CS/SD,HANRAT,Good,22.04690678487945
2020,Const Supplies CS/SD,HANRUL,Best,18.4659090909091
2020,Const Supplies CS/SD,HANRUL,Better,20.979165663858804
2020,Const Supplies CS/SD,HANRUL,Good,18.33065591825152
2020,Const Supplies CS/SD,HANSAW,Good,20.077897456713693
2020,Const Supplies CS/SD,HANSCB,Better,19.058295964125563
2020,Const Supplies CS/SD,HANSCB,Good,33.74884602703594
2020,Const Supplies CS/SD,HANSCP,Better,17.418544156710567
2020,Const Supplies CS/SD,HANSCP,Good,31.623865441375862
2020,Const Supplies CS/SD,HANSCR,Best,23.402125184788748
2020,Const Supplies CS/SD,HANSCR,Better,19.43933043259951
2020,Const Supplies CS/SD,HANSCR,Good,22.912987877817905
2020,Const Supplies CS/SD,HANSHM,Best,33.564245810055866
2020,Const Supplies CS/SD,HANSHM,Better,22.483799666982527
2020,Const Supplies CS/SD,HANSHM,Good,40.14794014361509
2020,Const Supplies CS/SD,HANSHO,Best,30.935428585150987
2020,Const Supplies CS/SD,HANSHO,Better,25.376767252131796
2020,Const Supplies CS/SD,HANSHO,Good,16.81617752390934
2020,Const Supplies CS/SD,HANSNI,Best,16.923132107989552
2020,Const Supplies CS/SD,HANSNI,Better,27.90502234544255
2020,Const Supplies CS/SD,HANSNI,Good,20.3039134270176
2020,Const Supplies CS/SD,HANSOC,Best,17.344812131917376
2020,Const Supplies CS/SD,HANSOC,Better,21.538027759729015
2020,Const Supplies CS/SD,HANSOC,Good,22.284917027326046
2020,Const Supplies CS/SD,HANSOL,Better,18.563617853064315
2020,Const Supplies CS/SD,HANSOL,Good,17.219541616405312
2020,Const Supplies CS/SD,HANSPN,Best,39.402784014369104
2020,Const Supplies CS/SD,HANSPN,Better,28.57738840216938
2020,Const Supplies CS/SD,HANSPN,Good,29.20737443913736
2020,Const Supplies CS/SD,HANSQU,Best,12.817590778313695
2020,Const Supplies CS/SD,HANSQU,Better,27.030207017241477
2020,Const Supplies CS/SD,HANSQU,Good,22.443658442341555
2020,Const Supplies CS/SD,HANSTP,Best,25.00242647772494
2020,Const Supplies CS/SD,HANSTP,Better,29.401376447314295
2020,Const Supplies CS/SD,HANTAP,Best,22.89393723865074
2020,Const Supplies CS/SD,HANTAP,Better,24.144960812870806
2020,Const Supplies CS/SD,HANTAP,Good,28.493527687546948
2020,Const Supplies CS/SD,HANTBE,Best,50.0
2020,Const Supplies CS/SD,HANTBE,Better,17.599390323353354
2020,Const Supplies CS/SD,HANTBE,Good,100.0
2020,Const Supplies CS/SD,HANTHR,Best,13.900018798715466
2020,Const Supplies CS/SD,HANTHR,Better,17.92233402961877
2020,Const Supplies CS/SD,HANTHR,Good,7.630959088257963
2020,Const Supplies CS/SD,HANTRW,Good,26.711677026744876
2020,Const Supplies CS/SD,HANTUB,Best,55.61023622047244
2020,Const Supplies CS/SD,HANTUB,Better,20.894136506533624
2020,Const Supplies CS/SD,HANTUB,Good,13.402964453878111
2020,Const Supplies CS/SD,HANUNI,Best,19.004297921589714
2020,Const Supplies CS/SD,HANUNI,Better,20.52237473446942
2020,Const Supplies CS/SD,HANUNI,Good,22.394857918399765
2020,Const Supplies CS/SD,HANVIS,Best,16.02369731655677
2020,Const Supplies CS/SD,HANVIS,Better,19.566486010211985
2020,Const Supplies CS/SD,HANVIS,Good,22.71474181381304
2020,Const Supplies CS/SD,HANWED,Best,19.002489020995114
2020,Const Supplies CS/SD,HANWED,Better,23.456940822801656
2020,Const Supplies CS/SD,HANWED,Good,24.120538547566074
2020,Const Supplies CS/SD,HANWHL,Best,40.37766171153074
2020,Const Supplies CS/SD,HANWHL,Better,20.512612756357626
2020,Const Supplies CS/SD,HANWHL,Good,22.819616938551405
2020,Const Supplies CS/SD,HANWRA,Best,21.619267319767236
2020,Const Supplies CS/SD,HANWRA,Better,23.40211467600742
2020,Const Supplies CS/SD,HANWRA,Good,23.300999570149806
2020,Const Supplies CS/SD,HANWRC,Best,17.808221844506832
2020,Const Supplies CS/SD,HANWRC,Better,23.18143929307603
2020,Const Supplies CS/SD,HANWRC,Good,22.37270089437662
2020,Const Supplies CS/SD,HANWRH,Best,13.948971400282893
2020,Const Supplies CS/SD,HANWRH,Better,28.548978280117815
2020,Const Supplies CS/SD,HANWRH,Good,20.059123366179342
